antecedent,consequent,support,confidence,lift
RADIATION_MID + RAIN_LOW + TEMP_MID + WIND_LOW,O3_MID + PM10_HIGH,0.006434420902118809,0.3707865168539326,7.37069941642714
RAIN_LOW + TEMP_HIGH + WIND_LOW,O3_HIGH + PM10_HIGH,0.0075393214610685036,0.2310756972111554,6.903554713186091
HUMIDITY_MID + RADIATION_MID + RAIN_LOW + WIND_LOW,NO2_HIGH + O3_MID + PM10_HIGH,0.0056544910958013775,0.2169576059850374,6.812468827930175
HUMIDITY_MID + RAIN_LOW + TEMP_MID + WIND_LOW,O3_MID + PM10_HIGH,0.006239438450539451,0.3380281690140845,6.719510863631401
HUMIDITY_MID + RADIATION_MID + WIND_LOW,NO2_HIGH + O3_MID + PM10_HIGH,0.005914467697907188,0.2054176072234763,6.450112866817156
HUMIDITY_MID + RADIATION_MID + RAIN_LOW + TEMP_MID,NO2_HIGH + O3_MID + PM10_HIGH,0.005004549590536852,0.2047872340425532,6.43031914893617
HUMIDITY_HIGH + RADIATION_LOW + RAIN_HIGH + TEMP_MID,O3_LOW + PM10_LOW,0.006499415052645262,0.2358490566037736,6.299954140461216
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.00695437410633043,0.4672489082969432,6.2513840896145805
HUMIDITY_MID + TEMP_MID + WIND_LOW,O3_MID + PM10_HIGH,0.006824385805277525,0.3143712574850299,6.249245694657197
RADIATION_MID + TEMP_MID + WIND_LOW,O3_MID + PM10_HIGH,0.006889379955803978,0.30994152046783624,6.161188932710759
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH + TEMP_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.005004549590536852,0.4583333333333333,6.132101449275361
HUMIDITY_MID + RADIATION_MID + RAIN_LOW + TEMP_MID,O3_MID + PM10_HIGH,0.0074743273105420515,0.3058510638297872,6.079876573753367
HUMIDITY_MID + RADIATION_MID + RAIN_LOW + WIND_LOW,O3_MID + PM10_HIGH,0.00792928636422722,0.3042394014962594,6.04783905868404
RADIATION_LOW + RAIN_HIGH + TEMP_MID,O3_LOW + PM10_LOW,0.006889379955803978,0.2231578947368421,5.96095029239766
RADIATION_MID + RAIN_LOW + TEMP_LOW + WIND_MID,NO2_HIGH + O3_MID,0.0052645261926426625,0.35526315789473684,5.934939139379393
HUMIDITY_MID + RADIATION_MID + WIND_LOW,O3_MID + PM10_HIGH,0.008514233718965293,0.29571106094808125,5.878307989337439
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.010009099181073703,0.42896935933147634,5.739237011020951
HUMIDITY_HIGH + RADIATION_LOW + TEMP_MID,O3_LOW + PM10_LOW,0.007344339009489146,0.21320754716981133,5.695158542976939
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH + TEMP_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.0075393214610685036,0.4249084249084249,5.684905239687848
RADIATION_HIGH + RAIN_HIGH + TEMP_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.00669439750422462,0.4204081632653061,5.624695652173912
RADIATION_HIGH + RAIN_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.009554140127388535,0.41761363636363635,5.587307312252964
RADIATION_MID + RAIN_LOW + TEMP_MID + WIND_LOW,NO2_HIGH + O3_MID,0.005784479396854283,0.3333333333333333,5.568584871516467
RAIN_HIGH + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_MID,0.0055245027947484725,0.20047169811320756,5.498141795311606
HUMIDITY_HIGH + RADIATION_LOW + RAIN_MID + TEMP_LOW,O3_LOW + PM10_HIGH,0.00571948524632783,0.721311475409836,5.475134859721626
RADIATION_MID + TEMP_LOW + WIND_MID,NO2_HIGH + O3_MID,0.0053945144936955675,0.32677165354330706,5.45896705908504
HUMIDITY_LOW + RADIATION_MID + RAIN_LOW + TEMP_LOW,NO2_HIGH + O3_MID,0.0053945144936955675,0.3192307692307692,5.3329908961830785
HUMIDITY_MID + RAIN_LOW + TEMP_MID + WIND_LOW,NO2_HIGH + O3_MID,0.005849473547380735,0.31690140845070425,5.294077166582557
HUMIDITY_LOW + RADIATION_HIGH + RAIN_LOW + WIND_LOW,NO2_MID + O3_HIGH,0.005589496945274925,0.44559585492227977,5.273798326026305
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH + WIND_HIGH,O3_HIGH + PM10_LOW,0.007084362407383336,0.4759825327510917,5.253563306246985
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.010074093331600156,0.34675615212527966,5.230578584901522
RADIATION_MID + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + PM10_HIGH + PM25_HIGH,0.0074743273105420515,0.452755905511811,5.221965788759163
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.015793578577927986,0.3456614509246088,5.214065768554932
RADIATION_MID + RAIN_LOW + WIND_LOW,O3_MID + PM10_HIGH,0.011503964643182114,0.26222222222222225,5.212598334768877
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH,NO2_LOW + O3_HIGH + PM25_LOW,0.0056544910958013775,0.24233983286908078,5.207598699055414
HUMIDITY_LOW + RADIATION_HIGH + WIND_LOW,NO2_MID + O3_HIGH,0.005589496945274925,0.4387755102040816,5.193076923076923
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH + TEMP_HIGH + WIND_HIGH,O3_HIGH + PM10_LOW,0.005134537891589757,0.47023809523809523,5.190160210425633
RADIATION_HIGH + RAIN_HIGH + TEMP_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.010334069933705966,0.38686131386861317,5.175867978419549
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.017483426491615755,0.38264580369843526,5.155331292210267
HUMIDITY_LOW + RADIATION_MID + TEMP_LOW,NO2_HIGH + O3_MID,0.0053945144936955675,0.30855018587360594,5.154563691478068
HUMIDITY_LOW + TEMP_HIGH + WIND_LOW,NO2_MID + O3_HIGH,0.005979461848433641,0.431924882629108,5.111997110870351
HUMIDITY_LOW + RAIN_LOW + TEMP_HIGH + WIND_LOW,NO2_MID + O3_HIGH,0.005849473547380735,0.430622009569378,5.096577107103423
RAIN_LOW + TEMP_MID + WIND_LOW,O3_MID + PM10_HIGH,0.009294163525282725,0.25627240143369173,5.094324507052688
RADIATION_HIGH + RAIN_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.014103730664240218,0.38003502626970226,5.084538186248381
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.017223449889509943,0.5928411633109619,5.081590049416413
HUMIDITY_HIGH + RAIN_HIGH + TEMP_MID + WIND_HIGH,NO2_LOW + O3_MID + PM10_LOW,0.006564409203171715,0.2853107344632768,5.069042679505747
HUMIDITY_MID + RADIATION_HIGH + TEMP_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.006889379955803978,0.37857142857142856,5.06495652173913
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.01091901728844404,0.37583892617449666,5.063623220771283
RADIATION_HIGH + RAIN_LOW + TEMP_HIGH + WIND_LOW,NO2_MID + O3_HIGH,0.006499415052645262,0.42735042735042733,5.057856673241289
HUMIDITY_MID + RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.005784479396854283,0.5894039735099338,5.052127875445037
RADIATION_MID + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.0055245027947484725,0.33464566929133854,5.047900262467191
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH,O3_HIGH + PM10_LOW + PM25_LOW,0.005004549590536852,0.21448467966573817,5.045965261983253
RADIATION_MID + TEMP_LOW + WIND_LOW,NO2_HIGH + PM10_HIGH + PM25_HIGH,0.00792928636422722,0.4372759856630825,5.0434245242969915
HUMIDITY_MID + RADIATION_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.009229169374756272,0.37566137566137564,5.026022544283413
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH,O3_HIGH + PM10_LOW,0.010594046535811776,0.45403899721448465,5.011365861651407
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.01091901728844404,0.3300589390962672,4.978712585230556
HUMIDITY_MID + RADIATION_HIGH + RAIN_HIGH + TEMP_HIGH,O3_HIGH + PM10_LOW,0.007994280514753671,0.4505494505494505,4.972850678733031
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.011308982191602755,0.38926174496644295,4.966153572183824
HUMIDITY_MID + TEMP_MID + WIND_LOW,NO2_HIGH + O3_MID,0.006434420902118809,0.2964071856287425,4.951705709102967
HUMIDITY_MID + RADIATION_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.006239438450539451,0.5748502994011976,4.927379780828315
RADIATION_MID + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.005914467697907188,0.32616487455197135,4.9199732939770895
RADIATION_HIGH + RAIN_HIGH + TEMP_HIGH + WIND_HIGH,O3_HIGH + PM10_LOW,0.007084362407383336,0.4448979591836735,4.910473457675753
HUMIDITY_MID + RADIATION_MID + RAIN_LOW,O3_MID + PM10_HIGH,0.014688678018978291,0.24511930585683298,4.872617105831049
HUMIDITY_HIGH + RADIATION_LOW + RAIN_HIGH + TEMP_LOW,O3_LOW + PM10_MID,0.009099181073703366,0.2697495183044316,4.871321700272283
RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.024177823995840373,0.5679389312977099,4.868138382700036
HUMIDITY_HIGH + RADIATION_LOW + RAIN_MID,O3_LOW + PM10_HIGH,0.005914467697907188,0.6408450704225352,4.864352369768686
HUMIDITY_MID + RADIATION_MID + TEMP_LOW,O3_MID + PM10_HIGH,0.005004549590536852,0.24444444444444444,4.8592018374964105
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.01735343819056285,0.37980085348506404,4.8454526797024835
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.01338879500844924,0.35951134380453753,4.8436440768621845
RADIATION_MID + RAIN_LOW + TEMP_MID,O3_MID + PM10_HIGH,0.011503964643182114,0.24346629986244842,4.839757738609342
RADIATION_LOW + RAIN_MID + TEMP_LOW,O3_LOW + PM10_HIGH,0.006499415052645262,0.6369426751592356,4.834731129748397
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.024697777200051996,0.3588290840415486,4.834452090248044
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.0186533212010919,0.5638506876227898,4.833095643322698
RADIATION_HIGH + RAIN_HIGH + WIND_HIGH,O3_HIGH + PM10_LOW,0.010009099181073703,0.4375,4.82881994261119
HUMIDITY_HIGH + RADIATION_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.019693227609515144,0.3782771535580524,4.82601350302172
RADIATION_LOW + RAIN_HIGH + TEMP_LOW,O3_LOW + PM10_MID,0.010074093331600156,0.2667814113597246,4.817721590587703
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.011828935395814377,0.3575638506876228,4.817405785183682
RADIATION_LOW + RAIN_HIGH + TEMP_LOW + WIND_LOW,O3_LOW + PM10_MID,0.005004549590536852,0.2655172413793103,4.794892342561113
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH,0.018328350448459638,0.6308724832214765,4.7886551686460965
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.012413882750552451,0.37524557956778,4.78733705408778
RADIATION_HIGH + RAIN_LOW + WIND_LOW,NO2_MID + O3_HIGH,0.007409333160015599,0.40425531914893614,4.784517184942716
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW + TEMP_LOW,O3_LOW + PM25_HIGH,0.01592356687898089,0.42757417102966844,4.767142170624985
RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.013453789158975693,0.31603053435114503,4.767103726986978
RADIATION_HIGH + RAIN_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM25_LOW,0.005069543741063305,0.2215909090909091,4.761728669375317
RADIATION_MID + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + PM25_HIGH,0.00792928636422722,0.48031496062992124,4.7494382932210595
HUMIDITY_HIGH + TEMP_MID + WIND_HIGH,NO2_LOW + O3_MID + PM10_LOW,0.006759391654751073,0.2659846547314578,4.725681175171143
RADIATION_HIGH + TEMP_HIGH + WIND_LOW,NO2_MID + O3_HIGH,0.00669439750422462,0.3992248062015504,4.724979129397734
